"Type","Buy","Cur.","Sell","Cur.","Exchange","Comment","Date"
"Deposit","0.18524000","ETH","","","","","2021-01-27"
"Trade","0.00738193","BTC","237.67000000","USDT","MindCapital Exchange","Compra de BTC","2021-01-26"
"Airdrop","15.00000000","FLR","","","","","2021-01-26"
"Trade","6.17600000","OMG","25.00000000","USD","","","2021-01-26"
"Trade","1.22980000","DOT2","25.00000000","USD","","","2021-01-26"
"Trade","0.18284800","ETH","1000.00000000","PLN","","","2021-01-25"
"Trade","20.79800000","NEO","504.64000000","USDT","binance","","2021-01-25"
"Trade","6.95040774","ETH","0.30091300","BTC","Coinbase","","2021-01-25"
"Trade","38.37635217","AAVE","0.30000300","BTC","Coinbase","","2021-01-25"
"Trade","0.62868300","ETHEREUM","890.00000000","USD","Etoro pd","Kauf ETH","2021-01-25"
"Trade","0.00232700","BTC","50.00000000","AUD","Binance","","2021-01-25"
"Deposit","10615000.00000000","KIN","","","HitBTC","","2021-01-25"
"Trade","100.00000000","AUD","50.00000000","AUD","","","2021-01-25"
"Income","35.33000000","ALGO","","","Uphold","","2021-01-24"
"Trade","8749.00000000","AAVE","2425.92050000","USDT","","","2021-01-24"
"Trade","1991.82000000","USDT","2000.53000000","EUR","Binance","","2021-01-24"
"Trade","24.00000000","GGC","0.00000000","0","","","2021-01-24"
"Income","1000.00000000","1000","","","","","2021-01-24"
"Trade","10070.00000000","POLY","42.00000000","LINK","Atomic wallet","","2021-01-24"
"Deposit","250.00000000","EUR","","","Kraken","","2021-01-24"
"Trade","0.03119464","BTC","0.03119464","USD","","","2021-01-24"
"Trade","0.03119464","BTC","1000.00000000","USD","","","2021-01-24"
"Trade","0.03119464","BTC","0.03119464","USD","","","2021-01-24"
"Gift/Tip","1.18669176","2GIVE","","","BTCPop.com","","2021-01-24"
"Gift/Tip","113.74866430","2X2","","","BTCPop.com","","2021-01-24"
"Gift/Tip","2.35365431","404","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.01022408","ARCO","","","BTCPop.com","","2021-01-24"
"Gift/Tip","7.32692494","ADC","","","BTCPop.com","","2021-01-24"
"Gift/Tip","1.18894929","KB3","","","BTCPop.com","","2021-01-24"
"Gift/Tip","42.56199234","BITB","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.00070061","XBC","","","BTCPop.com","","2021-01-24"
"Gift/Tip","7.04653338","BLAS","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.00347534","BLOCK","","","BTCPop.com","","2021-01-24"
"Gift/Tip","1.50538848","BOAT","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.00439793","BOST","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.02154675","CLAM","","","btc","","2021-01-24"
"Gift/Tip","0.00089882","CLOAK","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.00001151","CBX","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.00043492","ONION","","","BTCPop.com","","2021-01-24"
"Gift/Tip","8.30994803","DEM","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.00666894","DMD","","","BTCPop.com","","2021-01-24"
"Gift/Tip","6.31941606","EGC","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.19130906","EXCL","","","BTCPop.com","","2021-01-24"
"Gift/Tip","8.03768689","GRC","","","BTCPop.com","","2021-01-24"
"Gift/Tip","15.77659732","HBN","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.01351079","IC","","","BTCPop.com","","2021-01-24"
"Gift/Tip","193.87924911","NKA","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.00165992","INFX","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.00075699","IOC","","","BTCPop.com","","2021-01-24"
"Gift/Tip","50378.78037346","JMC","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.01526000","LTC","","","BTCPop.com","","2021-01-24"
"Gift/Tip","11.07982725","MINT","","","BTCPop.com","","2021-01-24"
"Gift/Tip","6.32264308","NRO","","","BTCPop.com","","2021-01-24"
"Gift/Tip","112.85726363","ODN","","","BTCPop.com","","2021-01-24"
"Gift/Tip","177.16741152","PND","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.00029154","PPC","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.04810635","PHR","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.31952617","PINK","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.28825341","PIVX","","","BTCPop.com","","2021-01-24"
"Gift/Tip","11.67487750","PKOIN","","","BTCPop.com","","2021-01-24"
"Gift/Tip","19.40024341","POT","","","BTCPop.com","","2021-01-24"
"Gift/Tip","7.93910703","RDD","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.03466352","RBY","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.03173999","SXC","","","BTCPop.com","","2021-01-24"
"Gift/Tip","129581.53255499","SPRTS","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.18219214","SLG","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.00058096","TAO","","","BTCPop.com","","2021-01-24"
"Gift/Tip","7.83329222","TESLA","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.03107571","TX","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.28250327","TRI","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.22430652","ZEIT","","","BTCPop.com","","2021-01-24"
"Gift/Tip","0.00016577","BTC","","","BTCPop.com","","2021-01-24"
"Airdrop","0.00030000","XLM","","","Ledger Live","XLM 1","2021-01-24"
"Withdrawal","","","1000.00000000","LINK","bitbay","","2021-01-23"
"Withdrawal","","","1000.00000000","LINK","bitbay","","2021-01-23"
"Withdrawal","","","2.37193519","ETH","bitbay","","2021-01-23"
"Withdrawal","","","26.00000000","LINK","Ledger Live","Ethereum 1","2021-01-23"
"Withdrawal","","","2.00002260","DASH","Ledger Live","Dash 1","2021-01-23"
"Withdrawal","","","2000.00000000","USDT","MindCapital","reembolso compra","2021-01-23"
"Trade","0.50000000","BTC","5000.00000000","EUR","bit2me","servicios","2021-01-23"
"Trade","2.37193519","ETH","21.11577683","LTC","bitbay","","2021-01-23"
"Withdrawal","","","0.10582778","BTC","Wasabi Dawn","","2021-01-22"
"Spend","","","0.02910000","ETH","Ledger","","2021-01-22"
"Deposit","20.00000000","DIS","","","MM4","MM4 Claim TosDis IDO public on ido.tosdis.finance/buy 20 DIS for 0.882 ETH ; changed 'deposit' of dis ido tokens to 'trade'","2021-01-22"
"Withdrawal","","","20.00000000","DIS","mm4 dis public ido","MM4 Claim TosDis IDO public on ido.tosdis.finance/buy 20 DIS for 0.882 ETH ; changed 'deposit' of dis ido tokens to 'trade'","2021-01-22"
"Other Fee","","","0.01095335","ETH","mm4 dis public ido","MM4: Fee : Claim TosDis IDO public on ido.tosdis.finance/buy 20 DIS for 0.882 ETH","2021-01-22"
